message,gpt-4o.hebrew_translation,gpt-4o.english_translation,gpt-4o-mini.hebrew_translation,gpt-4o-mini.english_translation,google-translate.hebrew_translation,google-translate.english_translation
🛑مصادر محلية وفاة الشاب وليد منصور من كفر قليل بعد وقوع حادث سير صعب وقع قبل قليل على شارع القدس شرق مدينة نابلس,,,מקורות מקומיים: מותו של הצעיר וליד מנצור מקפר קליל לאחר תאונת דרכים קשה שקרתה לפני רגע ברחוב ירושלים מזרחית לעיר נאפלאס,Local sources: The death of young Walid Mansour from Kafr Qalil after a serious car accident occurred moments ago on Jerusalem Street east of Nablus,"🛑מקורות מקומיים: הצעיר, וליד מנצור, מכפר קליל, מת לאחר תאונת דרכים קשה שאירעה לפני שעה קלה ברחוב אלקודס, מזרחית לעיר שכם.",🛑Local sources: The death of the young man Walid Mansour from Kafr Qallil after a serious traffic accident that occurred a short while ago on Jerusalem Street east of Nablus
🚨 قوات الاحتلال تطلق قنابل إنارة في أجواء حي الزيتون جنوب شرق مدينة غزة,,,כוחות הכיבוש משגרים רימוני תאורה באוויר בשכונת الزيتון בדרום מזרח העיר עזה,Occupation forces launch illumination bombs in the air over the Zaitoun neighborhood southeast of Gaza City,"🚨 כוחות הכיבוש יורים פצצות התלקחות במרחב האווירי של שכונת אל-זייתון, דרומית מזרחית לעיר עזה","🚨 The occupation forces fire flares in the airspace of the Al-Zeitoun neighborhood, southeast of Gaza City."
🚨 طائرات الاحتلال تستهدف محيط مدرسة كفر قاسم بمخيم الشاطئ غرب مدينة غزة,,,מטוסי הכיבוש תוקפים את אזור בית הספר כפר קאסם במחנה אלשאטי מערבית לעיר עזה,Occupation aircraft target the vicinity of the Kafr Qassem school in the al-Shati camp west of Gaza City,"🚨 מטוסי הכיבוש תקפו את סביבת בית הספר כפר קאסם במחנה אלשאטי, ממערב לעיר עזה","🚨 Occupation aircraft target the vicinity of Kafr Qasim School in Al-Shati Camp, west of Gaza City"
"🚨القدرات العسكرية الإيرانية إن صح إستشهاد ""القائد السنوار"" فذلك لن ينفي الهزائم المميته التي يتلقّاها عدوّنا الصهيوني الإرهابيّ الجزّار. عدوّنا يحتضر ومحاولة الدعم المعنوي لجيشه الذي يجر أذيال الخيبة لن تفلح. لا زلنا ننتظر ردّهم المزعوم على بلادنا ليروا قيامة بأسنا ، وبيننا وبينهم الآيام والعاقبة بالخواتيم.",,,"אם ניתן להצהיר על יכולות צבאיות איראניות - במקרה שה'מפקד סנואר' נהרג, זה לא יחליש את התבוסות הקטלניות הסובלות האויב שלנו, הצורר הציוני. האויב שלנו גוסס ומאמצי התמיכה המוסריים עבור צבאו שנמצא על השפתיים של תסכול לא יצליחו. אנחנו עדיין מחכים לתגובה המדוברת על מולדתנו כדי לראות את כוחותינו, ובין השניים נמצא הימים והתוצאות ייראו בסוף.","If it can be said about Iranian military capabilities - if the 'commander Sinwar' is martyred, it will not negate the deadly defeats that our enemy, the Zionist butcher, suffers. Our enemy is dying, and the attempts at moral support for his army facing frustration will fail. We are still waiting for their rumored response against our homeland to see the might of our strength, and between us and them are days, with the outcome visible in the end.","🚨יכולות צבאיות איראניות: אם מות הקדושים של &quot;המפקד סינוואר&quot; נכון, זה לא ישלול את התבוסות הקטלניות שספג אויבנו הציוני הטרוריסטי השוחט. האויב שלנו גוסס, והניסיון להעניק תמיכה מוסרית לצבאו, שנגרר אחרי זנבות האכזבה, לא יצליח. אנחנו עדיין מחכים לתגובתם לכאורה לארצנו כדי לראות את תחיית כוחנו, ובינינו לבינם הימים והסוף עם הגמר.","🚨Iranian military capabilities If the martyrdom of &quot;Commander Sinwar&quot; is true, this will not negate the deadly defeats suffered by our terrorist butcher Zionist enemy. Our enemy is dying and attempts to provide moral support to his army, which is dragging its tails of disappointment, will not succeed. We are still waiting for their alleged response to our country to see the resurrection of our strength, and between us and them are the days and the outcome is in the endings."
"🚨 قيادة العمليات في حزب الله: منذ بداية العملية البرية قتلنا 55 جندياً وجرحنا أكثر من 500 جندي بينهم ضباوأضاف: ""إننا نعلن عن مرحلة جديدة في الحملة ضد إسرائيل، وفي الأيام المقبلة سنبدأ بتصعيد الوضع"".",,,"מנהיגות המבצעים בחיזבאללה: מאז תחילת הפעולה הקרקעית הרגנו 55 חיילים ופגענו ביותר מ-500 חיילים כולל פצועים. הוסיף: ""אנו מודיעים על שלב חדש בקמפיין נגד ישראל, ובימים הקרובים נתחיל להעלות את המצב.""","Operational leadership in Hezbollah: Since the beginning of the ground operation, we have killed 55 soldiers and wounded more than 500 soldiers including officers. He added: 'We announce a new phase in the campaign against Israel, and in the coming days we will start escalating the situation.'","🚨 פיקוד המבצעים של חיזבאללה: מאז תחילת המבצע הקרקעי, הרגנו 55 חיילים ופצענו יותר מ-500 חיילים, כולל חיילים. הוא הוסיף: &quot;אנו מכריזים על שלב חדש במערכה נגד ישראל, ובימים הקרובים יתחיל להסלים את המצב&quot;.","🚨 Hezbollah Operations Command: Since the beginning of the ground operation, we have killed 55 soldiers and wounded more than 500, including Dabaa. He added: &quot;We are announcing a new phase in the campaign against Israel, and in the coming days we will begin to escalate the situation.&quot;"
🚨 قصف مدفعي في المناطق الشمالية الغربية من مدينة رفح,הפגזה ארטילרית באזורים הצפון-מערביים של עיר רפיח.,Artillery shelling in the northwestern areas of Rafah city.,ירי ארטילרי באזורים הצפון-מערביים של העיר רפיח,Artillery shelling in the northwestern areas of the city of Rafah,🚨 הפגזה ארטילרית באזורים הצפון-מערביים של העיר רפיח,🚨 Artillery shelling in the northwestern areas of Rafah city
🚨 عدد من الجرحى في الحادث الذي وقع في جنوب لبنان,מספר פצועים בתאונה שהתרחשה בדרום לבנון.,Several injured in the incident that took place in southern Lebanon.,מספר פצועים בתקרית שהתרחשה בדרום לבנון,Several injured in the incident that occurred in southern Lebanon,🚨 בתאונה שאירעה בדרום לבנון נפצעו מספר בני אדם,🚨 A number of people were injured in the accident that occurred in southern Lebanon
🚨 عاجل|| حزب الله يعلن تنفيذ 17 عملية تصدي لمحاولات تقدّم جيش الاحتلال ومواقع وقواعد وانتشاره واستهداف مستوطنات شمال فلسطين المحتلة اليوم,"חיזבאללה מודיע על ביצוע 17 פעולות התמודדות עם ניסיונות התקדמות של צבא הכיבוש, עמדות, בסיסים ופריסתו, וכן תקיפת יישובים בצפון פלסטין הכבושה היום.","Hezbollah announces the execution of 17 operations thwarting the advancement attempts of the occupation army, its positions and bases, and targeting settlements in northern occupied Palestine today.",חיזבאללה מכריז על ביצוע 17 פעולות התנגדות בניסיונות ההתקדמות של צבא הכיבוש ומיקומיו ובסיסיו וירי לעבר ההתנחלויות בצפון פלסטין הכבושה היום,"Hezbollah announces the execution of 17 resistance operations against attempts by the occupying army to advance, targeting their positions, bases, and settlements in northern occupied Palestine today","🚨 דחוף|| חיזבאללה מכריז על ביצוע 17 מבצעים להתעמת עם ניסיונות הצבא הכובש להתקדם, אתרים, בסיסים והיערכות, ולכוון היום להתנחלויות של צפון פלסטין הכבושה.","🚨 Urgent || Hezbollah announces the implementation of 17 operations to confront attempts by the occupation army to advance, sites, bases, and deploy, and to target settlements in northern occupied Palestine today"
🚨بلينكن يصل إسرائيل خلال الأيام القليلة المقبلة,בלינקן יגיע לישראל במהלך הימים הקרובים.,Blinken to arrive in Israel in the coming days.,בלינקון יגיע לישראל בשבועות הקרובים,Blinken is arriving in Israel in the coming days,🚨בלינקן יגיע לישראל במהלך הימים הקרובים,🚨Blinken arrives in Israel in the next few days
🚨 💛  بعد قليل... بيان صادر عن غرفة عمليات المقاومة الإسلامية,בעוד מעט... הודעה מטה המחקרים של ההתנגדות האסלאמית.,Shortly... a statement from the Islamic Resistance Operations Room.,לאחר זמן קצר... הודעה תצא מחדר מבצעי של ההתנגדות האיסלמית,Soon... a statement will be issued from the operations room of the Islamic resistance,🚨 💛 בקרוב... הודעה שפורסמה על ידי חדר המבצעים של ההתנגדות האסלאמית,🚨 💛 Soon... A statement issued by the Islamic Resistance Operations Room
🚨 عاجل | ارتقاء أكثر من 54 شهيدا في غارات صهيونية على مناطق متفرقة في قطاع غزة منذ فجر اليوم,"יותר מ-54 שהידים בתקיפות צה""ליות באזורים שונים ברצועת עזה מאז עלות השחר.",More than 54 martyrs in Israeli raids on various areas of the Gaza Strip since dawn.,יותר מ-54 שאהידים נהרגו בתקיפות ציוניות באזורים שונים ברצועת עזה מאז שעות הבוקר,More than 54 martyrs have fallen in Zionist airstrikes on various areas in the Gaza Strip since dawn today,🚨 דחוף | יותר מ-54 חללים נהרגו בפשיטות ציוניות על אזורים שונים ברצועת עזה מאז עלות השחר היום.,🚨 Urgent | More than 54 martyrs have been killed in Zionist raids on various areas in the Gaza Strip since dawn today
🚨 عاجل | هيئة البث الإسرائيلية: وزير الدفاع غالانت أبلغ نظيره الأمريكي أن مقتل السنوار حدث استراتيجي سيغير قواعد اللعبة,הרשות לשידור הישראלית: שר הביטחון גלנט הודיע לעמיתו האמריקאי שמותו של סינוואר הוא אירוע אסטרטגי שישנה את כללי המשחק.,Israeli Broadcasting Authority: Defense Minister Gallant informed his American counterpart that the killing of Sinwar is a strategic event that will change the rules of the game.,מיידי | רשות השידור הישראלית: שר הביטחון גלנט הודיע לקולגה האמריקאי שההרג של סנואר הוא אירוע אסטרטגי שישנה את חוקי המשחק,Urgent | Israeli broadcasting authority: Defense Minister Gallant informed his American counterpart that the killing of Sanwar is a strategic event that will change the rules of the game,🚨 דחוף | תאגיד השידור הישראלי: שר הביטחון גלנט הודיע ​​לעמיתו האמריקאי כי הריגת סינוואר היא אירוע אסטרטגי שישנה את כללי המשחק,🚨 Urgent | Israeli Broadcasting Authority: Defense Minister Galant informed his American counterpart that the killing of Sinwar is a strategic event that will change the rules of the game
📍الإعلام_العبري حدشوت حدث أمني صعب في الشمال,התקשורת הישראלית חדשות: אירוע בטחוני קשה בצפון.,Hebrew media Hadshot: A severe security event in the north.,התקשורת העברית: אירוע ביטחוני קשה בצפון,Hebrew media: A severe security incident in the north,"📍Hebrew_media חדשות, אירוע ביטחוני קשה בצפון",📍Hebrew media: Hadshot: A difficult security incident in the north
📍#عاجل| الشرطة الإسرائيلية:نقل جثة السنوار إلى مشرحة في تل أبيب لإجراء فحوصات إضافية,המשטרה הישראלית: גופתו של סינוואר הועברה למכון פתולוגי בתל אביב לביצוע בדיקות נוספות.,Israeli police: Sinwar's body was transferred to a morgue in Tel Aviv for further examinations.,מיידי | המשטרה הישראלית: העברת גופתו של סנואר למכון הפתולוגי בתל אביב לצורך בדיקות נוספות,Urgent | Israeli police: The body of Sanwar has been taken to the morgue in Tel Aviv for further examinations,📍#דחוף| משטרת ישראל: גופתו של סינוואר הועברה לחדר מתים בתל אביב לבדיקות נוספות,📍#Urgent | Israeli police: Al-Sinwar&#39;s body was transferred to a morgue in Tel Aviv for additional tests
📍 قوات الاحتلال تغلق حاجز مخيم شعفاط بالقدس المحتلة، بعد إندلاع مواجهات بالمكان,"כוחות הכיבוש סוגרים את מחסום מחנה פליטים שועפאט בירושלים הכבושה, לאחר שפרצו עימותים במקום.","Occupation forces close the Shuafat camp checkpoint in occupied Jerusalem, following the outbreak of confrontations at the site.","כוחות הכיבוש סוגרים את מחסום מחנה שועפט בירושלים הכבושה, לאחר שפרצו מהומות במקום",Occupation forces close the Shuafat camp checkpoint in occupied Jerusalem after clashes broke out in the area,"📍 כוחות הכיבוש סוגרים את מחסום מחנה הפליטים שועפאט בירושלים הכבושה, לאחר שפרצו עימותים במקום.","📍 The occupation forces close the Shuafat camp checkpoint in occupied Jerusalem, after clashes erupted there"
"📍حزب الله: استهداف دبابتي ‌‏ميركافا في جل الدير قرب مستعمرة ""أفيفيم"" بالصواريخ الموجّهة ما أدى إلى ‏احتراقهما ووقوع ‏طاقمهما بين قتيل وجريح","חיזבאללה: תקיפת שני טנקי מרכבה בג'ל דיר ליד יישוב ""אביבים"" בטילים מונחים, מה שהוביל לשריפתם וגרימת נפגעים לצוותיהם.","Hezbollah: Targeting two Merkava tanks in Jal al-Deir near the settlement of ""Avivim"" with guided missiles, leading to their burning and causing casualties among their crews.","חיזבאללה: הושג פגיעה בשני טנקי מרכבה בג'ל א-דיר ליד ההתנחלות 'אביבם' באמצעות טילים מונחים, מה שהוביל לשריפות בהם וגרם לפגיעות בניפגעים","Hezbollah: Two Merkava tanks were targeted in Jal al-Dir near the settlement of 'Avivim' with guided missiles, resulting in their burning and casualties among their crew","📍חיזבאללה: שני טנקי מרכבה כוונו בג&#39;ל אל-דיר, סמוך להתנחלות &quot;אביבים&quot;, עם טילים מונחים, שהובילו לשריפתם ולצוותם להרוג ולפציעה.","📍Hezbollah: Two Merkava tanks were targeted in Jal al-Deir, near the &quot;Avivim&quot; settlement, with guided missiles, which led to their burning and the deaths and injuries of their crew."
📍مشهد من المستشفى المعمداني بمدينة غزة يظهر الضغط الكبير على الطواقم الطبية نتيجة قصف الاحتلال المستمر وكثرة الإصابات,תמונה מבית החולים הבפטיסטי בעזה מראה את הלחץ הרב על הצוותים הרפואיים כתוצאה מההפצצות המתמשכות של הכיבוש וריבוי הפצועים.,A scene from the Baptist Hospital in Gaza shows the intense pressure on medical teams due to the ongoing bombardment by the occupation and the multitude of injuries.,מנוף מהבית חולים הבפטיסטי בעזה מציג את הלחץ הגדול על הצוותים הרפואיים בגלל ההפצצות המתמשכות וכמות הפציעות.,A view from the Baptist hospital in Gaza shows the great pressure on the medical teams due to the ongoing bombardment and the large number of injuries.,📍 סצנה מבית החולים הבפטיסטים בעיר עזה מראה את הלחץ הרב על הצוות הרפואי כתוצאה מהפצצות הכיבוש המתמשכות ומספר הנפגעים הרב.,📍A scene from the Baptist Hospital in Gaza City shows the great pressure on medical staff as a result of the ongoing occupation bombing and the large number of injuries.
📍الاعلام العبري ينشر:توثيق إضافي ليحيى السنوار بعد تصفيته,התקשורת העברית מפרסמת: תיעוד נוסף של יחיא סינוואר לאחר חיסולו.,Hebrew media publishes: Additional documentation of Yahya Sinwar after his assassination.,התקשורת העברית מפרסמת: תיעוד נוסף של יחיא סנואר לאחר חיסולו.,Hebrew media reports: Additional documentation of Yahya Sinwar after his assassination.,📍התקשורת העברית מפרסמת: תיעוד נוסף של יחיא סינוואר לאחר חיסולו,📍Hebrew media publishes: Additional documentation of Yahya Sinwar after his liquidation
📍عاجل | بايدن: هنأت نتنياهو على مقتل السنوار والوقت حان الآن للمضي قدما,דחוף | ביידן: בירכתי את נתניהו על מות סינוואר והזמן כעת להתקדם.,"Urgent | Biden: I congratulated Netanyahu on Sinwar's death, and the time has come to move forward.",דחוף | ביידן: בירכתי את נתניהו על חיסול סנואר והגיע הזמן להתקדם.,Urgent | Biden: I congratulated Netanyahu on the killing of Sinwar and it's time to move forward.,📍דחוף | ביידן: ברכתי את נתניהו על הריגתו של סינוואר והגיע הזמן להתקדם,📍Urgent | Biden: I congratulated Netanyahu on the killing of Sinwar and now it is time to move forward
📍المتحدث باسم جيش الاحتلال الإسرائيلي،  فر #السنوار وحده إلى أحد المباني وهو مصاب في يده بعيار ناري..وفي لحظاته الأخيرة ألقى لوحًا خشبيًا على طائرة بدون طيار.,"דובר צבא הכיבוש הישראלי: סינוואר נמלט לבדו לאחד המבנים כשהוא פצוע בירייה בידו, וברגעיו האחרונים השליך לוח עץ על כטב""מ.","The spokesman for the Israeli Occupation Army stated: Sinwar fled alone to one of the buildings with a bullet wound in his hand, and in his final moments, he threw a wooden plank at a drone.","דובר צה""ל: סנואר ברח לבד לאחד הבניינים כשהוא פצוע בידו מירי. ברגעיו האחרונים הוא זרק לוח עץ על מל""ט.","IDF spokesman: Sinwar fled alone to one of the buildings with a gunshot wound to his hand. In his final moments, he threw a wooden board at a drone.","📍 דובר צבא הכיבוש הישראלי, #אל-סינואר ברח לבדו לבניין עם פצע ירי בידו...וברגעיו האחרונים, הוא השליך קרש עץ לעבר מזל&quot;ט.","📍The spokesman for the Israeli occupation army, #Sinwar fled alone to one of the buildings while he was wounded in the hand by a gunshot..and in his last moments he threw a wooden board at a drone."
📍عاجل: يديعوت أحرونوت تعلن إصابة جندي درزي خلال الاشتباكات التي اندلعت مع #السنوار ومرافقيه@FROM_HEBRON,דחוף: ידיעות אחרונות מודיעה על פציעת חייל דרוזי במהלך ההתנגשויות שפרצו עם סינוואר ומלוויו.,Urgent: Yedioth Ahronoth announces the injury of a Druze soldier during clashes that erupted with Sinwar and his escorts.,דחוף: ידיעות אחרונות מודיעה על פציעתו של חייל Druze במהלך הקרבות שהתלקחו עם #סנואר ומלוויו.,Urgent: Yedioth Ahronoth reports the injury of a Druze soldier during clashes that broke out with #Sinwar and his escorts.,📍חדשות מעולות: ידיעות אחרונות מודיע על פציעתו של חייל דרוזי במהלך העימותים שפרצו עם #סינוואר וחבריו @FROM_HEBRON,📍Urgent: Yedioth Ahronoth announces that a Druze soldier was injured during the clashes that erupted with #Sinwar and his companions @FROM_HEBRON
📍المتحدث باسم الجيش الإسرائيلي: تمت تصفية يحيى #السنوار أمس في منطقة تل السلطان برفح هاغاري: السنوار أحد مؤسسي الجناح العسكري لحماس وكان مسؤولا عن مذبحة 7 أكتوبرهاغاري: لم يكن هناك مخطوفون مع المخربين الذين قمنا بتصفيتهم,"דובר צה""ל: חוסל יחיא סינוואר אתמול באזור תל סולטן ברפיח. אגארי: סינוואר היה אחד ממייסדי הזרוע הצבאית של חמאס והיה אחראי לטבח ב-7 באוקטובר. אגארי: לא היו חטופים עם המחבלים שחיסלנו.",IDF Spokesperson: Yahya Sinwar was eliminated yesterday in the Tal Sultan area of Rafah. Hagari: Sinwar was one of the founders of Hamas' military wing and was responsible for the massacre on October 7. Hagari: There were no hostages with the terrorists we eliminated.,"דובר צה""ל: יחיא #סנואר חוסל אתמול באזור תל السلطן ברפיח. סנואר היה אחד ממקימי הזרוע הצבאית של חמאס והיה אחראי לטבח מה-7 באוקטובר. לא היו חטופים עם המחבלים שהחיסלנו.",IDF spokesman: Yahya #Sinwar was eliminated yesterday in the Tel Sultan area of Rafah. Sinwar was one of the founders of Hamas's military wing and was responsible for the massacre of October 7. There were no hostages with the terrorists we eliminated.,📍דובר צבא ישראל: יחיא #אל-סינואר חוסל אתמול באזור טל אל-סולטן ברפיח הגרי: אל-סינואר היה ממייסדי הזרוע הצבאית של חמאס והיה אחראי לטבח ב-7 באוקטובר הגרי: היו אין חוטפים עם המחבלים שחיסלנו.,📍Israeli army spokesman: Yahya #Sinwar was liquidated yesterday in the Tel Sultan area in Rafah Hagari: Sinwar is one of the founders of Hamas&#39;s military wing and was responsible for the October 7 massacre Hagari: There were no kidnapped people with the terrorists we liquidated
📍كان جالسا على كرسي ...الجيش الاسرائيلي ينشر مشاهد لاصابة #السنوار,ישב על כיסא...הצבא הישראלי מפרסם תמונות לפציעת סינוואר.,He was sitting on a chair... The Israeli army releases footage of Sinwar's injury.,הוא ישב על כיסא ... הצבא הישראלי פרסם תמונות מהפציעה של #סנואר.,He was sitting in a chair ... the Israeli army released footage of #Sinwar's injury.,📍הוא ישב על כיסא...הצבא הישראלי מפרסם סצנות של פציעתו של #סינוואר,📍He was sitting on a chair... The Israeli army publishes footage of #Sinwar&#39;s injury
📍عاجل المتحدث باسم الجيش الإسرائيلي يؤكد مقتل يحيى السنوار في رفح,"דחוף: דובר צה""ל מאשר את מותו של יחיא סינוואר ברפיח.",Urgent: The Israeli army spokesperson confirms the death of Yahya Sinwar in Rafah.,"דחוף: דובר צה""ל מאשר את מותו של יחיא סנואר ברפיח.",Urgent: IDF spokesman confirms the death of Yahya Sinwar in Rafah.,📍חדשות מעולות: דובר הצבא הישראלי מאשר את הריגתו של יחיא אל-סינואר ברפיח,📍Urgent: Israeli army spokesman confirms killing of Yahya Sinwar in Rafah
